city,area,name,phone,address,meal,time,lat,lon
台北市,中正區,Deja Vu 音樂魔幻餐廳,02-2396-8296,台北市中正區八德路一段1號 (華山創意園區-中4A館),"明太子奶油麵,迷迭香蒜片菲力,西班牙海鮮燉飯,大明蝦,肋眼牛排,珊瑚海(特調雞尾酒)",12:00-24:00,25.044117,121.5294289
台北市,中正區,小酒Shochu Yakitori,02-2395-1700,台北市中正區八德路一段1號 (華山創意園區-中4D館),"一夜干,雞軟骨,串燒組,蒲夜燒,雞肉棒",18:00-02:00 假日12:00-02:00,25.044117,121.5294289
台北市,中正區,青葉新樂園,02-3322-2009,台北市中正區八德路一段1號 (華山創意園區-中七館),"佛跳牆,烏魚子炒飯",12:00-14:00 19:30-21:30,25.044117,121.5294289
台北市,中正區,一間茶屋,02-3393-2809,台北市中正區八德路一段1號 (華山創意園區-配電室),"台灣小葉紅茶,甜心公主白茶,焦糖地瓜燒,烏龍茶油麵線",10:00-21:00 週一10:00-20:00,25.044117,121.5294289
台北市,中正區,Alleycat's Pizza,02-2395-6006,台北市中正區八德路一段1號（華山1914文創園區）,"義式半月形派餅,海鮮披薩",一至四11:00-24:00 五至日11:00-02:00供餐至24:00,25.045024,121.527854
台北市,中正區,北科大活力蛋餅,02-2358-3006,台北市中正區八德路一段82巷9弄14號,蛋餅,07:30-11:00,25.0434902,121.5317134
台北市,中正區,光華垃圾麵,0939-285577,台北市中正區八德路一段82巷9弄14號,垃圾麵（湯/乾）,09:00-賣完為止 週日公休,25.0434902,121.5317134
台北市,中正區,人人素食,02-2341-3365,台北市中正區八德路一段82巷9弄19號,"紅燒湯,魯香飯,紅麴素雞丁",10:30-21:00 (第3個週日公休),25.0435609,121.5312782
台北市,中正區,台北花園大酒店,02-2314-6611,台北市中正區中華路二段1號,"芝麻糊,酒釀湯圓,芝麻球",11:30-14:30 18:00-22:00,25.0365909,121.5069002
台北市,中正區,山內雞肉,,台北市中正區中華路二段307巷 (南機場夜市),"雞肉飯,雞肉拌飯,豬腱肉飯",11:00-賣完為止 週三公休,25.0292148,121.5059062
台北市,中正區,邱丘台南虱目魚,,台北市中正區中華路二段307巷 (南機場夜市),"虱目魚湯,虱目魚腸,虱目魚粥",06:00-13:00 週二公休,25.0292148,121.5059062
台北市,中正區,南機場無名早餐蛋餅,,台北市中正區中華路二段307巷 (南機場夜市),"雙蛋蛋餅,鮪魚蛋餅",06:30-11:00,25.0292148,121.5059062
台北市,中正區,南機場無名燒餅,,台北市中正區中華路二段307巷 (南機場夜市),"燒餅,油條,甜酥餅,鹹酥餅,米漿,豆漿",05:00-11:00,25.0292148,121.5059062
台北市,中正區,基隆黑輪綜合甜不辣,,台北市中正區中華路二段307巷 (南機場夜市),"甜不辣,豬血糕,蛋丸高麗菜,捲炸餛飩",17:00-23:00,25.0292148,121.5059062
台北市,中正區,南機場蝦仁羹,,台北市中正區中華路二段309巷 (南機場夜市基隆黑輪旁),"綜合羹,蝦仁羹,花枝羹,阿根廷魷魚羹",-,25.0289731,121.5061268
台北市,中正區,福賓牛排總店,02-2305-0472,台北市中正區中華路二段309巷14號,"超值雞排,沙朗牛排",15:30-24:00 假日 11:30-24:00,25.0288023,121.5058341
台北市,中正區,來來水餃,02-2305-1561,台北市中正區中華路二段309巷9號,"水餃,酸辣湯,豆干,小菜",一至五 17:00-23:30 六日 16:30-23:30,25.0288491,121.5056438
台北市,中正區,好吃炸雞,02-2305-5992,台北市中正區中華路二段309巷底,"大雞排,洋蔥圈,薯餅,四季豆,杏鮑菇",16:00-24:00 (週一公休),25.0329636,121.5654268
台北市,中正區,美蘭阿姨果汁吧,02-2332-1024,台北市中正區中華路二段309巷底,"木瓜牛奶,酪梨牛奶",10:00-22:00,25.0329636,121.5654268
台北市,中正區,好佳蚵嗲,,台北市中正區中華路二段309巷巷底,"蚵嗲,香蔥燒肉捲,香菜捲,芹菜捲,米糕",16:00-00:30,25.0329636,121.5654268
台北市,中正區,古早味烤玉米,,台北市中正區中華路二段311巷21號 旁,碳烤玉米,18:00-24:00,25.0288868,121.5063997
台北市,中正區,阿南麻油雞,,台北市中正區中華路二段311巷320號 (南機場夜市),"麻油雞,麻油麵線",-,25.0296835,121.5043314
台北市,中正區,秋月日式豬排飯,,台北市中正區中華路二段313巷 (南機場夜市),腰內肉豬排,11:00-15:00 17:00-20:30 週一公休,25.0285276,121.5065317
台北市,中正區,南機場彰化肉圓 (100大美食),,台北市中正區中華路二段313巷20號 旁,"多到爆的筍絲,超大肉塊肉圓",13:30-賣完為止,25.0284107,121.5064501
台北市,中正區,永康街芋頭大王(中華店),02-2332-3434,台北市中正區中華路二段313巷5號,"芋頭甜湯,四種剉冰",16:30-23:00,25.0282459,121.5060203
台北市,中正區,臭老闆現蒸臭豆腐,02-2305-2078,台北市中正區中華路二段313巷6號,"紅醋乾麵,番茄湯,清蒸臭豆腐",17:30-22:30,25.0281462,121.5061301
台北市,中正區,張春涼麵,02-2301-3417,台北市中正區中華路二段386號,涼麵,07:00-15:00 週四公休,25.0286535,121.5052831
台北市,中正區,岡山肉燥飯,,台北市中正區中華路二段南機場夜市門口正對面,"肉燥飯,郭魚湯",08:00-22:00,25.0286611,121.5053007
台北市,中正區,Second Floor Cafe 貳樓餐廳,02-2357-9222,台北市中正區仁愛路二段108號,班尼迪克蛋早午餐,10:00-22:30 五至日08:00-22:30,25.0379229,121.5324417
台北市,中正區,阿才的店,02-2356-9109,台北市中正區仁愛路二段41巷17號,"豬油拌飯,鮮蚵炒油條,炸肥腸,牛三寶,地瓜葉炒皮蛋",11:30-14:00 17:00-02:00 週日公休,25.038943,121.5288606
台北市,中正區,小魏川菜餐廳,02-2371-8427,台北市中正區公園路13號3樓,"荷葉排骨,蒜泥白肉,豆乾肉絲,乾燒蝦仁,乾煸四季豆,五更腸旺",11:30-14:00 17:30-21:00,25.0455,121.517414
台北市,中正區,江阿姨蔬菜蛋餅,0928-230810,台北市中正區公園路20巷21號,蔬菜蛋餅,11:00-23:00 每月第二第四個禮拜日公休,25.0452066,121.5162942
台北市,中正區,公館豆花伯純手工豆花,02-2365-0619,台北市中正區水源路27巷7號,佰歲人瑞賣手工豆花,07:00-11:30 15:00-賣完,25.0174358,121.5249451
